진료년도,시도,시군구,성별,연령군,환자수,입내원일수,요양급여비용총액
2023,서울,강남구,남,0~9세,0,0,0
2023,서울,강남구,남,10~19세,0,0,0
2023,서울,강남구,남,20~29세,0,0,0
2023,서울,강남구,남,30~39세,0,0,0
2023,서울,강남구,남,40~49세,0,0,0
2023,서울,강남구,남,50~59세,44,357,35408700
2023,서울,강남구,남,60~69세,209,987,120660440
2023,서울,강남구,남,70~79세,507,2857,308115300
2023,서울,강남구,남,80~89세,774,4940,486014020
2023,서울,강남구,남,90~99세,135,1216,111183820
2023,서울,강남구,남,100세 이상,0,0,0
2023,서울,강남구,여,0~9세,0,0,0
2023,서울,강남구,여,10~19세,0,0,0
2023,서울,강남구,여,20~29세,0,0,0
2023,서울,강남구,여,30~39세,0,0,0
2023,서울,강남구,여,40~49세,0,0,0
2023,서울,강남구,여,50~59세,79,300,22112570
2023,서울,강남구,여,60~69세,319,1469,155088460
2023,서울,강남구,여,70~79세,928,3851,389854610
2023,서울,강남구,여,80~89세,1638,12605,1124113270
2023,서울,강남구,여,90~99세,477,4280,317531510
2023,서울,강남구,여,100세 이상,0,0,0
2023,서울,강동구,남,0~9세,0,0,0
2023,서울,강동구,남,10~19세,0,0,0
2023,서울,강동구,남,20~29세,0,0,0
2023,서울,강동구,남,30~39세,0,0,0
2023,서울,강동구,남,40~49세,0,0,0
2023,서울,강동구,남,50~59세,26,121,11674770
2023,서울,강동구,남,60~69세,172,2172,251357860
2023,서울,강동구,남,70~79세,1385,11247,1140804820
2023,서울,강동구,남,80~89세,1157,13847,1363348670
2023,서울,강동구,남,90~99세,426,8506,806519490
2023,서울,강동구,남,100세 이상,0,0,0
2023,서울,강동구,여,0~9세,0,0,0
2023,서울,강동구,여,10~19세,0,0,0
2023,서울,강동구,여,20~29세,0,0,0
2023,서울,강동구,여,30~39세,0,0,0
2023,서울,강동구,여,40~49세,0,0,0
2023,서울,강동구,여,50~59세,39,181,16315830
2023,서울,강동구,여,60~69세,256,2313,228732730
2023,서울,강동구,여,70~79세,1047,9200,864415390
2023,서울,강동구,여,80~89세,2187,34437,3117573050
2023,서울,강동구,여,90~99세,691,21120,2011310480
2023,서울,강동구,여,100세 이상,12,558,46015700
2023,서울,강서구,남,0~9세,0,0,0
2023,서울,강서구,남,10~19세,0,0,0
2023,서울,강서구,남,20~29세,0,0,0
2023,서울,강서구,남,30~39세,0,0,0
2023,서울,강서구,남,40~49세,0,0,0
2023,서울,강서구,남,50~59세,15,617,86005610
2023,서울,강서구,남,60~69세,88,1179,121647250
2023,서울,강서구,남,70~79세,322,2663,231734520
2023,서울,강서구,남,80~89세,519,5820,555602150
2023,서울,강서구,남,90~99세,112,1956,150740160
2023,서울,강서구,남,100세 이상,0,0,0
2023,서울,강서구,여,0~9세,0,0,0
2023,서울,강서구,여,10~19세,0,0,0
2023,서울,강서구,여,20~29세,0,0,0
2023,서울,강서구,여,30~39세,0,0,0
2023,서울,강서구,여,40~49세,0,0,0
2023,서울,강서구,여,50~59세,14,164,18481470
2023,서울,강서구,여,60~69세,103,1370,103044990
2023,서울,강서구,여,70~79세,487,5086,418681360
2023,서울,강서구,여,80~89세,1335,26128,2185076790
2023,서울,강서구,여,90~99세,592,14633,1088598750
2023,서울,강서구,여,100세 이상,20,576,45503540
2023,서울,관악구,남,0~9세,0,0,0
2023,서울,관악구,남,10~19세,0,0,0
2023,서울,관악구,남,20~29세,0,0,0
2023,서울,관악구,남,30~39세,0,0,0
2023,서울,관악구,남,40~49세,0,0,0
2023,서울,관악구,남,50~59세,0,0,0
2023,서울,관악구,남,60~69세,51,699,66681190
2023,서울,관악구,남,70~79세,205,1685,128603760
2023,서울,관악구,남,80~89세,314,3117,295795150
2023,서울,관악구,남,90~99세,52,449,34580100
2023,서울,관악구,남,100세 이상,0,0,0
2023,서울,관악구,여,0~9세,0,0,0
2023,서울,관악구,여,10~19세,0,0,0
2023,서울,관악구,여,20~29세,0,0,0
2023,서울,관악구,여,30~39세,0,0,0
2023,서울,관악구,여,40~49세,0,0,0
2023,서울,관악구,여,50~59세,10,39,3740670
2023,서울,관악구,여,60~69세,79,754,91205220
2023,서울,관악구,여,70~79세,355,3027,243809660
2023,서울,관악구,여,80~89세,801,11463,940390180
2023,서울,관악구,여,90~99세,290,3499,218038840
2023,서울,관악구,여,100세 이상,0,0,0
2023,서울,구로구,남,0~9세,0,0,0
2023,서울,구로구,남,10~19세,0,0,0
2023,서울,구로구,남,20~29세,0,0,0
2023,서울,구로구,남,30~39세,0,0,0
2023,서울,구로구,남,40~49세,0,0,0
2023,서울,구로구,남,50~59세,21,351,45904910
2023,서울,구로구,남,60~69세,137,2210,309860700
2023,서울,구로구,남,70~79세,380,6608,702905160
2023,서울,구로구,남,80~89세,600,11400,1119896820
2023,서울,구로구,남,90~99세,91,2347,229853720
