"행정구역","2023년_총인구수","2023년_세대수","2023년_세대당 인구","2023년_남자 인구수","2023년_여자 인구수","2023년_남여 비율"
"전국  (1000000000)","51,325,329","23,914,851","          2.15","25,565,736","25,759,593","          0.99"
"서울특별시  (1100000000)","9,386,034","4,469,417","          2.10","4,540,031","4,846,003","          0.94"
"부산광역시  (2600000000)","3,293,362","1,564,588","          2.10","1,605,431","1,687,931","          0.95"
"대구광역시  (2700000000)","2,374,960","1,094,148","          2.17","1,166,803","1,208,157","          0.97"
"인천광역시  (2800000000)","2,997,410","1,350,912","          2.22","1,499,016","1,498,394","          1.00"
"광주광역시  (2900000000)","1,419,237","655,433","          2.17","700,896","718,341","          0.98"
"대전광역시  (3000000000)","1,442,216","680,261","          2.12","719,292","722,924","          0.99"
"울산광역시  (3100000000)","1,103,661","490,690","          2.25","567,153","536,508","          1.06"
"세종특별자치시  (3600000000)","386,525","160,835","          2.40","192,524","194,001","          0.99"
"경기도  (4100000000)","13,630,821","5,978,724","          2.28","6,855,895","6,774,926","          1.01"
"강원특별자치도  (5100000000)","1,527,807","760,635","          2.01","768,449","759,358","          1.01"
"충청북도  (4300000000)","1,593,469","779,967","          2.04","810,448","783,021","          1.04"
"충청남도  (4400000000)","2,130,119","1,035,449","          2.06","1,091,570","1,038,549","          1.05"
"전라북도  (4500000000)","1,754,757","861,193","          2.04","873,419","881,338","          0.99"
"전라남도  (4600000000)","1,804,217","911,442","          1.98","909,548","894,669","          1.02"
"경상북도  (4700000000)","2,554,324","1,282,500","          1.99","1,290,298","1,264,026","          1.02"
"경상남도  (4800000000)","3,251,158","1,525,502","          2.13","1,636,987","1,614,171","          1.01"
"제주특별자치도  (5000000000)","675,252","313,155","          2.16","337,976","337,276","          1.00"
